,squareMeters,numberOfRooms,hasYard,hasPool,floors,cityPartRange,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasGuestRoom,price
65,36496,9,0,1,47,5,2017,0,1,2768,6291,230,0,3656368.7
66,84016,15,1,0,55,1,2016,1,0,3284,9879,641,2,8410054.6
67,3087,27,1,1,94,3,2005,1,1,5866,3557,199,1,321717.5
68,89768,48,1,1,17,6,1993,0,1,2485,108,864,7,8980518.3
69,30226,74,1,1,87,10,2007,0,0,515,13,223,4,3039243.7
70,58478,5,0,1,35,6,2016,0,0,8366,4799,979,7,5853710.6
71,66621,48,0,0,89,10,1995,1,1,5024,8103,388,4,6666403.5
72,73314,43,0,1,38,10,2018,0,1,3281,5020,968,8,7336538.8
73,59972,28,0,1,18,9,2021,1,1,8384,7226,226,4,6000826.1
74,71591,20,1,0,58,7,1998,0,0,6486,3310,366,0,7165980.8
75,92462,52,1,1,46,9,2019,1,0,9584,8587,677,8,9257840.9
76,52325,60,1,1,24,6,1992,1,0,8987,3149,808,4,5238533.2
77,67311,67,0,0,10,3,1990,1,1,6928,7808,774,5,6732249.0
78,45050,99,0,1,87,4,2013,1,0,5218,8217,144,3,4508695.3
79,61534,73,1,0,97,9,2001,0,0,9265,8974,755,6,6159875.1
80,84091,50,0,1,72,7,1993,0,0,2668,4669,766,8,8414104.3
81,77579,69,1,1,97,6,1999,1,0,4850,5648,144,8,7767797.9
82,25204,31,1,1,37,4,2020,1,0,6560,4287,116,6,2530488.0
83,42059,46,0,1,62,6,2017,1,1,8827,1853,860,3,4212125.7
84,38430,43,0,1,51,6,2021,0,1,1214,606,289,8,3846214.1
85,7069,4,0,0,89,9,2009,1,1,7499,8969,493,3,709107.9
86,34780,75,0,1,9,4,2019,0,1,3033,6475,800,4,3480536.9
87,12757,100,1,0,7,7,2020,1,1,6795,9983,738,5,1277834.0
88,33749,74,0,1,38,10,1999,1,1,1729,7952,616,2,3380855.9
89,600,37,1,0,43,4,2011,1,0,6738,5603,866,1,63402.1
90,7239,61,1,0,83,4,1994,1,0,7782,2518,986,4,733776.4
91,34919,20,1,1,84,5,1997,0,0,6566,628,408,2,3499532.7
92,25614,29,0,0,27,4,1994,1,0,700,377,519,9,2563970.4
93,51434,64,0,0,23,10,2012,1,1,2080,9575,753,7,5146226.2
94,78960,55,0,1,76,8,2015,1,1,7126,5012,974,0,7900996.5
95,70751,64,1,1,41,1,2006,1,0,1506,590,794,7,7084110.6
96,81870,60,0,1,100,3,2020,0,0,3632,5960,723,3,8198185.0
97,91559,36,0,1,21,6,2007,0,1,788,4788,132,8,9161130.7
98,72098,9,0,1,67,2,2014,1,0,9080,9356,740,9,7216904.4
99,23177,19,0,0,52,4,2003,0,0,2706,4593,648,6,2318776.3
100,39517,92,0,0,85,4,2019,0,1,7618,1172,810,9,3953491.9
101,55232,23,0,0,8,8,1991,0,0,1492,5697,625,6,5524015.1
102,53735,49,0,1,92,4,2006,0,0,8654,9588,290,8,5384554.6
103,67753,72,1,1,78,3,1995,1,1,7480,2068,929,6,6789580.5
104,1450,59,0,0,1,10,2018,1,1,1285,8119,869,10,146181.8
105,82141,93,1,1,61,3,2019,1,1,8785,6602,968,4,8225970.9
106,17868,73,1,0,35,4,2013,0,0,1718,5498,710,2,1792308.3
107,71397,71,0,0,93,3,1995,1,1,3477,5530,342,2,7145471.5
108,32623,35,0,1,14,10,2003,1,0,4633,7551,126,8,3267852.3
109,23841,71,1,1,25,3,2010,1,1,7590,5224,564,1,2390804.0
110,16495,94,0,0,6,3,1991,1,1,2214,1464,929,7,1650711.1
111,39109,24,1,0,67,4,2002,1,0,1642,2925,139,9,3917652.2
112,65151,81,1,1,3,7,1991,0,0,3218,9119,849,4,6522781.1
113,61484,91,1,0,94,8,2013,1,0,5486,3641,766,3,6154833.3
114,57160,15,1,1,43,8,2002,0,0,4018,4871,836,2,5724102.2
115,13346,57,0,0,57,6,2021,1,1,2525,545,809,8,1336414.1
116,27351,77,0,0,36,4,1997,1,1,1150,3100,812,0,2738851.7
117,18466,50,0,1,60,5,2020,0,0,2475,1376,568,5,1849227.0
118,45441,29,1,0,66,3,2004,0,1,8121,2996,853,6,4552319.4
119,55933,15,0,0,97,9,2001,1,1,7369,6739,686,6,5599976.1
120,81936,68,0,0,92,3,2011,1,0,6393,9082,734,0,8198107.1
121,18237,70,1,0,74,9,2011,0,0,7173,9144,498,9,1833338.1
122,35631,54,1,0,7,10,2018,1,1,216,1339,775,10,3568002.8
123,99683,12,1,0,77,5,2002,0,1,4034,2877,787,6,9977000.2
124,47664,44,0,0,77,6,2010,1,1,2662,5433,417,6,4770073.0
125,62887,45,0,1,7,4,1993,1,0,292,744,675,4,6293710.3
126,18470,20,1,1,73,3,2000,1,0,4089,9245,905,6,1852115.0
127,36031,63,1,0,47,9,2001,0,1,9701,1325,514,4,3612495.1
128,22776,84,0,0,5,9,1993,0,1,2422,1918,544,7,2278599.3
129,14830,81,1,0,1,1,1992,1,0,6151,1651,243,9,1487488.2
130,43944,40,1,0,69,10,2012,0,1,7466,6556,735,6,4403326.2
131,73062,34,1,1,38,4,2016,0,0,9823,7174,728,0,7313447.6
132,84284,76,0,0,39,5,1998,0,0,4500,4877,480,6,8432554.8
133,9619,66,1,0,91,9,1991,0,1,1069,3823,927,10,969806.1
134,11410,96,0,1,96,8,2019,0,1,1466,3642,933,1,1150663.9
135,29855,63,0,0,23,5,2000,0,1,3861,7495,204,6,2987645.0
136,46716,94,0,0,58,8,2008,0,1,1361,6855,409,3,4674140.8
137,77046,69,1,0,85,4,1992,0,1,8135,1401,648,3,7714235.2
138,58855,1,0,0,66,3,2004,0,1,2267,3070,531,3,5892518.4
139,69165,66,1,0,74,4,2009,1,1,1543,9736,939,9,6926290.9
140,57915,25,0,1,84,10,2007,1,1,3394,4287,640,5,5800324.7
141,66279,47,1,0,9,3,2003,0,1,5079,3156,128,10,6631365.3
142,16068,21,1,0,13,8,1991,1,1,8893,2564,463,2,1611707.1
143,74325,50,1,1,58,8,1994,0,1,4008,1952,275,5,7443433.4
144,35742,46,1,1,47,7,2014,1,1,1732,6019,243,7,3581003.4
145,9026,51,1,0,28,1,2000,1,0,779,9037,482,10,904797.0
146,16899,19,0,1,14,2,2020,0,1,5710,907,302,7,1693690.0
147,99854,82,0,0,64,3,2009,0,1,4827,2626,918,7,9989598.9
148,33743,56,1,1,29,10,2006,0,1,7330,3012,345,6,3382812.6
149,72798,22,1,1,30,9,2007,0,0,2209,2120,637,7,7290431.7
150,86492,21,0,0,86,3,1992,1,0,7843,5348,463,0,8654049.2
151,38937,35,0,1,77,2,2013,1,1,1312,1272,794,1,3901433.3
152,24762,22,0,1,62,10,1999,1,1,5264,3986,502,1,2480900.9
153,91047,45,0,0,65,8,1999,0,0,7241,1060,757,1,9109264.9
154,55527,64,0,1,44,4,2005,0,1,9385,9507,786,9,5557814.5
155,70606,17,1,1,79,7,2017,1,0,4927,1285,197,5,7070662.7
156,67327,47,0,0,87,9,1990,0,1,1097,8551,964,10,6741466.0
157,6125,90,0,1,29,1,2012,1,1,6423,7934,846,10,615143.2
158,71833,37,0,1,51,2,2013,0,0,3772,2045,580,6,7185318.3
159,20811,98,1,1,71,1,1995,0,1,112,53,586,3,2090690.5
160,7643,98,0,0,63,2,1999,1,0,2142,7748,983,7,765618.9
161,16669,95,1,1,81,4,2007,0,1,6109,1409,239,1,1676719.7
162,84006,73,1,1,97,4,2000,1,0,9698,6310,837,4,8409827.0
163,34059,49,0,0,90,4,1993,0,1,4138,5337,347,2,3412619.3
164,36131,95,0,0,88,8,1991,1,0,1046,8463,331,8,3620939.1
165,8201,18,1,1,66,7,2007,0,0,4949,5811,185,6,826967.7
166,38398,84,0,0,22,6,1994,1,0,1618,9458,404,8,3842545.4
167,38833,10,0,0,14,4,2014,1,1,1828,7626,462,8,3884619.4
168,41488,22,0,0,59,9,2013,0,1,2090,4438,650,3,4151539.3
169,5205,2,0,0,15,7,2005,0,0,8342,4705,742,0,521650.5
170,45066,28,0,0,62,9,2013,0,0,7092,6757,924,0,4508367.3
171,63875,53,1,1,14,7,1999,1,0,4139,7178,152,6,6394774.9
172,25052,88,0,0,94,8,2020,0,1,718,6346,703,10,2515214.0
173,51457,64,0,1,32,3,2016,0,0,3016,1891,633,4,5150600.6
174,84396,64,0,0,96,6,2015,1,1,7416,6190,593,2,8449333.5
175,64920,98,0,1,63,8,2016,1,0,2287,8181,426,6,6501809.6
176,9166,4,1,0,16,4,2015,1,1,6838,9438,842,8,922847.5
177,85558,48,1,0,83,2,2017,0,1,7997,655,374,0,8568781.7
178,87267,75,1,0,81,6,2019,0,0,6899,1628,666,4,8731940.9
179,96091,100,0,1,24,10,1999,0,0,6546,4094,373,6,9615021.9
180,38003,98,1,0,6,8,2008,0,0,9981,6500,129,2,3803545.8
181,83120,97,0,1,68,6,2015,0,1,15,4581,481,1,8318749.5
182,20468,100,1,0,34,6,2003,0,1,9659,6233,802,0,2049846.3
183,75152,91,1,0,37,3,2018,1,0,4717,5685,412,2,7518709.8
184,32688,9,1,1,18,6,2013,0,1,9089,6967,398,7,3274057.3
185,45868,72,1,1,69,5,1994,1,1,7668,9908,216,10,4600708.4
186,73900,69,0,1,36,4,2018,0,0,9847,6227,140,4,7394635.8
187,16000,41,1,1,25,9,2007,0,1,7228,764,138,6,1606948.7
188,1423,59,0,1,30,8,1993,1,1,3900,1985,879,8,149234.3
189,29951,37,1,1,13,6,1995,1,1,5692,9582,762,0,3002371.5
190,40231,84,0,1,41,4,1999,0,0,5700,303,758,0,4030226.9
191,59517,38,1,0,69,8,2003,1,0,6831,2741,727,6,5958698.3
192,98969,26,1,0,69,10,2003,0,0,3744,5809,992,5,9902968.3
193,99177,49,0,0,41,6,2021,1,1,6326,6738,429,3,9919217.1
194,89157,46,0,0,42,3,2009,0,1,3510,781,290,4,8920282.9
195,67429,60,0,1,24,8,1991,1,0,3578,3600,858,1,6749654.1
196,38431,57,1,0,60,9,2020,1,0,4121,3307,374,8,3848467.0
197,72495,76,1,1,59,8,1994,1,0,3413,2245,254,0,7259025.4
198,85362,77,1,0,19,6,1997,0,0,7728,8516,186,4,8541211.7
199,28597,93,0,0,47,3,1990,0,0,4492,270,714,8,2863386.0
200,13687,36,1,1,93,3,2001,1,1,4148,6383,590,5,1376329.1
201,50479,3,0,1,73,5,2020,0,0,4149,6785,188,5,5057657.0
202,98121,38,0,1,57,7,1995,0,1,6028,8690,275,2,9817494.5
203,57736,16,0,0,21,9,1999,0,1,6099,1511,588,2,5775940.9
204,30356,40,0,0,85,7,1992,0,0,7660,774,551,8,3039209.2
205,21141,38,0,1,80,10,1998,1,1,169,8853,697,10,2126023.8
206,98122,34,0,0,7,7,2009,0,1,7125,7272,186,5,9813433.9
207,34746,12,1,0,15,10,2000,0,0,2840,3137,377,4,3478332.0
208,17297,43,1,1,19,7,2012,1,1,3216,5586,243,2,1738971.2
209,80324,47,1,1,7,3,1993,1,1,325,3203,109,9,8039714.3
210,15815,13,1,1,2,7,2019,1,0,637,7880,552,4,1585031.9
211,1066,5,1,1,46,4,2017,0,1,2723,9228,524,5,114605.7
212,79275,95,0,1,67,5,1995,0,1,3689,7215,132,3,7930383.5
213,20658,7,1,1,48,4,1997,0,0,8080,9560,341,10,2076936.7
214,8687,88,0,1,64,3,1993,1,1,7414,6075,710,3,877525.3
215,69638,42,1,1,63,1,1991,1,0,4703,7032,937,6,6977654.1
216,94036,18,0,0,19,10,2001,1,1,5913,178,986,10,9406163.1
217,60889,72,0,0,87,6,2018,1,0,7437,4833,131,7,6091341.8
218,11680,21,0,0,14,10,1992,1,0,7478,6846,921,6,1169431.2
219,11458,96,1,1,31,9,2010,1,0,1365,3757,321,6,1154040.0
220,20397,67,0,0,79,8,1997,0,0,705,4914,898,3,2042985.7
221,83206,34,1,0,51,9,1999,1,0,9170,9694,327,9,8326302.9
222,8951,11,1,0,63,1,1997,1,0,6189,2892,626,1,904889.7
223,22854,41,1,0,89,4,2001,0,1,6216,521,481,0,2292467.1
224,46042,52,0,0,74,9,2015,1,0,65,9506,946,5,4605791.5
225,93506,20,1,0,28,8,2017,1,0,5297,1410,306,8,9356982.7
226,58748,76,0,0,40,2,2010,0,1,1627,996,639,2,5875981.0
227,715,71,0,0,23,7,2010,0,1,8609,3736,740,8,74252.0
228,55327,22,1,0,59,1,1993,1,1,7163,9333,504,8,5540589.3
229,63631,84,1,0,12,6,2000,0,0,239,1952,411,4,6369055.0
230,77915,99,0,0,21,5,2018,0,1,1081,9015,448,4,7793915.8
231,91804,5,0,0,81,3,1999,0,1,8554,1275,930,8,9182083.9
232,57295,95,0,0,69,2,1994,1,1,9771,9634,951,7,5731510.4
233,61057,65,1,0,77,9,1998,1,0,9762,545,369,6,6114671.8
234,91626,83,1,0,55,4,1991,1,1,2684,784,101,8,9169068.1
235,29356,96,1,1,46,4,1990,1,1,1780,393,413,3,2948071.0
236,27134,62,1,0,2,7,2003,0,0,3718,9140,357,3,2715604.3
237,1682,65,1,0,79,2,2017,0,1,2590,425,659,4,174918.7
238,98868,41,0,1,67,7,2021,1,1,2146,1077,623,3,9892300.1
239,23898,62,1,0,93,9,1996,0,1,8256,4656,136,1,2399286.6
240,83110,43,1,0,75,7,2001,1,0,4108,5663,380,7,8321631.1
241,71154,67,0,1,53,2,2021,1,1,8418,7187,706,8,7122699.1
242,90841,48,1,0,15,6,2003,0,0,3333,149,842,9,9086177.3
243,68416,87,1,0,48,8,2010,0,0,1811,6776,424,6,6846709.0
244,47585,95,0,0,5,5,1993,1,1,5101,89,639,0,4759724.3
245,28452,79,1,0,40,4,2006,1,1,388,1889,566,2,2850377.6
246,15630,78,1,0,4,7,1996,1,0,7084,4158,225,0,1565985.6
247,65900,36,1,1,99,1,2017,0,1,2637,1038,452,1,6605894.7
248,21600,94,1,0,56,10,2000,0,1,3129,6029,236,3,2166421.0
249,74704,31,0,0,22,1,1992,1,0,7463,8866,347,9,7472587.2
250,87291,78,1,1,42,3,2017,0,1,6214,3127,596,2,8739254.7
251,96687,65,0,1,81,4,2012,0,1,2438,8183,695,6,9673884.2
252,60567,65,1,1,100,7,2019,1,0,7010,7994,993,0,6071330.9
253,4872,41,0,0,74,9,1990,1,0,5851,1579,473,6,489455.0
254,9157,48,1,0,53,4,2009,0,0,6401,6536,488,8,922102.9
255,65217,26,1,1,39,6,2019,0,1,1374,3300,804,10,6531999.9
256,87346,56,1,1,82,9,1990,0,1,5792,549,947,4,8743241.0
257,47701,26,1,0,46,3,2001,1,0,5447,3025,610,3,4773352.1
258,14766,50,0,1,79,8,2001,0,0,8031,383,643,4,1488265.1
259,94841,19,1,1,75,3,1998,1,1,3157,986,585,6,9498026.8
260,59318,92,0,0,91,9,2002,0,0,9413,9619,425,5,5939275.2
261,1796,28,0,0,4,1,1997,0,1,8360,2070,142,4,180265.7
262,96526,36,1,1,34,5,2020,0,1,2131,710,680,0,9661068.0
263,62876,36,0,0,9,4,2006,0,0,338,8342,740,4,6288117.6
264,59558,43,1,1,89,4,2012,0,0,9174,4094,712,5,5967916.2
265,97008,89,0,1,4,9,2014,1,1,8321,5231,369,0,9703551.4
266,66746,6,1,0,10,7,1997,0,0,1567,9732,378,3,6678869.7
267,25776,36,0,0,93,5,2002,0,0,688,5948,954,10,2582235.2
268,96195,97,0,1,64,7,2018,1,1,3874,9414,892,3,9626665.8
269,4805,47,1,1,99,5,1995,0,1,2788,4069,839,0,486824.5
270,23045,21,1,0,75,5,1990,0,1,651,4309,607,0,2312202.0
271,95441,70,0,1,65,6,2017,1,1,2841,3067,404,3,9554998.7
272,28381,34,1,0,64,6,2009,1,0,6737,1660,502,2,2847241.9
273,15731,34,1,1,37,5,2003,0,1,7361,4828,277,5,1582940.3
274,18966,58,1,0,25,10,2019,1,1,2327,7431,823,0,1902151.9
275,24393,46,1,1,16,4,2019,0,0,4080,4764,619,2,2449464.9
276,53339,67,0,0,11,4,2013,1,0,368,8180,312,3,5335546.3
277,44053,17,1,0,55,9,2004,1,0,6586,382,258,3,4413295.4
278,70898,98,0,0,92,6,1994,0,0,4848,784,942,3,7091863.4
279,84483,41,1,0,85,10,2019,1,0,6052,369,651,6,8452134.9
280,35716,24,1,0,52,4,2013,1,1,8821,9581,991,10,3574932.3
281,64693,64,0,0,81,10,2013,0,0,7506,6802,687,7,6471378.3
282,32593,40,1,0,94,2,2006,0,0,2261,9719,871,2,3265750.6
283,1607,63,1,1,52,10,2020,1,0,2844,5531,878,7,173112.0
284,39484,74,0,1,30,6,1991,1,0,3172,2821,172,9,3954971.1
285,32458,28,1,1,20,1,2015,0,0,8462,890,523,7,3253846.5
286,72243,64,0,1,23,2,2004,1,1,4431,8585,752,3,7229477.4
287,20624,44,1,0,83,10,1996,0,0,318,6191,606,4,2070369.6
288,7443,38,1,0,41,8,2005,0,0,3249,4423,503,1,748338.5
289,78382,41,0,0,14,7,2020,1,1,8751,7515,985,6,7840062.0
290,70614,15,1,1,100,10,2010,1,1,4845,8727,991,2,7075926.0
291,32235,59,1,0,10,2,2016,1,0,7388,828,488,10,3225143.6
292,2523,12,1,1,67,3,2015,1,1,150,473,949,1,260710.5
293,87864,55,0,0,77,8,2019,1,1,7834,7083,745,9,8790481.9
294,18316,97,0,0,3,10,1991,1,0,5804,2070,846,9,1832673.1
295,94471,30,1,1,79,6,2011,0,1,1327,6342,285,3,9454072.1
296,60704,96,1,1,29,1,2004,0,0,4505,9766,847,2,6080655.4
297,54020,4,1,0,64,1,2013,0,0,8767,4062,882,4,5406334.3
298,59612,37,1,0,56,10,2017,1,1,5616,5474,914,2,5967739.7
299,56467,63,0,0,41,3,1990,1,0,2743,5018,815,0,5649094.0
300,65625,55,0,1,36,2,2015,0,1,774,1091,958,10,6567597.5
301,41570,76,0,1,98,10,2014,1,1,3573,3494,486,10,4167932.4
302,44862,99,0,1,68,7,1992,0,0,9383,3076,631,3,4493882.2
303,47212,37,1,1,81,7,2001,0,0,7210,5160,159,9,4734236.1
304,2840,17,1,0,26,4,2004,1,0,6848,5362,294,10,288797.4
305,40465,85,0,0,100,4,2004,0,0,6327,1053,403,0,4052600.4
306,17191,80,1,1,29,2,1995,1,0,3192,2786,716,9,1728829.5
307,56480,85,1,0,80,8,2016,0,0,8211,9476,532,1,5653048.6
308,70503,78,0,0,29,2,2021,1,0,6819,4897,948,4,7051701.1
309,4885,100,0,0,54,7,1993,0,0,9519,8043,718,6,493693.3
310,58263,65,1,1,57,9,2006,0,1,7942,6968,786,3,5840294.6
311,47647,52,0,1,6,10,2002,1,1,3220,9457,171,10,4768169.2
312,57916,51,0,0,24,8,1998,0,1,3831,5615,356,1,5792783.8
313,6396,71,0,0,40,6,2005,1,0,413,3302,682,9,643620.5
314,41972,18,0,1,49,7,1995,1,0,842,820,846,0,4206464.5
315,94311,11,1,0,47,8,2007,0,1,3619,128,868,7,9439790.7
316,10714,41,0,1,98,5,1996,0,1,2598,1190,631,6,1075982.6
317,11259,26,0,1,82,10,2010,1,0,902,3876,125,7,1134964.0
318,3534,16,1,1,13,4,2003,0,1,5811,6473,900,0,359850.3
319,52680,10,0,1,79,6,1991,0,1,5687,2005,242,0,5274696.1
320,62711,60,0,0,29,8,2007,0,1,4484,5437,329,6,6272944.7
321,19268,12,1,0,77,3,2010,1,0,1133,5202,357,3,1938014.0
322,36119,39,1,0,46,7,2019,0,1,3958,3737,889,3,3620813.9
323,28394,53,0,0,7,8,2003,0,1,63,8840,328,2,2840816.3
324,20392,33,1,0,84,10,2007,0,1,1256,7011,171,2,2046763.7
325,7259,25,1,1,39,1,2014,0,0,6482,2430,537,5,735079.4
326,28183,81,0,0,52,5,1993,1,1,2798,5783,525,10,2821593.3
327,92188,14,0,1,95,10,1996,1,1,61,7526,693,0,9227140.6
328,29815,28,0,0,77,9,1995,0,1,3530,2821,663,0,2989048.5
329,50219,96,1,0,54,9,2003,0,1,8051,8796,965,0,5025975.3
330,1722,56,0,1,84,8,2002,1,0,6240,8680,497,2,182838.2
331,70399,14,0,1,85,6,2013,0,1,8009,9856,255,4,7048784.3
332,28790,52,1,0,15,7,2021,1,1,1238,5370,218,4,2883447.1
333,92962,7,1,1,37,5,2000,1,0,6581,1046,315,3,9304587.0
334,34245,2,1,0,85,4,2010,1,1,251,3567,918,5,3430728.0
335,54677,64,1,1,94,2,1996,1,0,1236,3643,537,2,5477618.6
336,74227,84,1,0,5,7,2000,1,0,4609,7857,378,5,7427853.0
337,94939,46,1,1,48,9,2009,1,0,9164,9600,351,7,9503765.9
338,48884,58,1,0,32,1,2010,1,0,311,1098,729,9,4895277.0
339,10638,39,0,0,33,5,2016,0,1,3142,3829,138,10,1066200.6
340,90315,61,1,1,91,7,1994,1,1,5604,3492,490,7,9044477.4
341,17633,28,0,0,83,6,2013,1,0,1644,8999,162,2,1767487.3
342,63242,45,0,1,18,4,2017,0,1,6932,5206,340,1,6327623.7
343,79344,46,1,1,42,2,1991,1,0,8088,4938,744,7,7945562.1
344,72093,48,0,1,92,8,2005,1,0,4805,7,148,9,7223902.5
345,13378,59,1,0,9,1,2001,1,1,8171,5848,488,7,1342476.1
346,47019,35,0,1,9,8,2020,0,0,2005,1643,694,6,4706162.0
347,34666,75,1,1,14,5,2002,1,1,9405,9154,186,6,3477313.2
348,93509,28,1,1,62,6,1992,1,1,72,9223,731,6,9361261.2
349,13583,42,1,0,32,7,2015,1,1,4519,3442,911,10,1364589.5
350,19649,11,0,1,83,4,1999,1,0,595,6282,795,2,1970018.9
351,141,16,0,1,58,5,1997,1,0,3411,8985,213,4,22670.7
352,22821,64,1,1,14,9,1993,1,1,2060,103,491,2,2289134.3
353,533,76,1,1,55,6,2021,1,1,654,3585,301,9,65465.1
354,67020,71,1,1,38,4,2015,0,0,3647,997,640,1,6711051.5
355,49094,30,1,0,49,9,2021,0,1,4934,3570,625,8,4916616.1
356,25269,88,0,0,92,6,2019,1,1,3464,5175,693,1,2530193.9
357,71989,41,0,0,77,2,2003,0,0,7290,4027,337,4,7204744.3
358,73180,1,1,1,54,9,2011,0,0,3340,452,784,10,7325717.1
359,18926,58,1,1,84,6,1998,1,0,5353,4021,442,8,1908217.8
360,6492,76,0,0,88,10,2018,1,0,2655,6299,372,9,652565.8
361,98045,4,1,1,8,4,2002,0,0,9321,2416,570,0,9814193.2
362,51589,83,0,1,43,6,1998,1,0,7867,7522,819,5,5167451.8
363,24390,75,1,0,44,10,1992,0,0,7295,6840,235,1,2446317.2
364,75890,10,0,1,59,9,2001,0,1,270,3676,744,8,7597786.1
365,29220,9,0,1,59,7,1994,1,0,391,8842,706,0,2929116.4
366,72433,57,1,1,18,7,2001,0,0,6995,8567,276,0,7250644.1
367,57467,98,0,0,64,7,1993,0,0,661,9428,600,2,5749361.3
